Key Name                                          	Value Shape         	
LM_decoder.layers.7.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.7.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.7.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.7.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.7.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.7.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.7.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.7.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.7.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.8.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.8.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.8.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.8.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.8.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.8.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.8.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.8.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.8.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.8.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.8.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.8.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.9.self_attn.in_proj_weight      	torch.Size([3072, 1024])	
LM_decoder.layers.9.self_attn.in_proj_bias        	torch.Size([3072])  	
LM_decoder.layers.9.self_attn.out_proj.weight     	torch.Size([1024, 1024])	
LM_decoder.layers.9.self_attn.out_proj.bias       	torch.Size([1024])  	
LM_decoder.layers.9.linear1.weight                	torch.Size([4096, 1024])	
LM_decoder.layers.9.linear1.bias                  	torch.Size([4096])  	
LM_decoder.layers.9.linear2.weight                	torch.Size([1024, 4096])	
LM_decoder.layers.9.linear2.bias                  	torch.Size([1024])  	
LM_decoder.layers.9.norm1.weight                  	torch.Size([1024])  	
LM_decoder.layers.9.norm1.bias                    	torch.Size([1024])  	
LM_decoder.layers.9.norm2.weight                  	torch.Size([1024])  	
LM_decoder.layers.9.norm2.bias                    	torch.Size([1024])  	
LM_decoder.layers.10.self_attn.in_proj_weight     	torch.Size([3072, 1024])	
LM_decoder.layers.10.self_attn.in_proj_bias       	torch.Size([3072])  	
LM_decoder.layers.10.self_attn.out_proj.weight    	torch.Size([1024, 1024])	
LM_decoder.layers.10.self_attn.out_proj.bias      	torch.Size([1024])  	
LM_decoder.layers.10.linear1.weight               	torch.Size([4096, 1024])	
LM_decoder.layers.10.linear1.bias                 	torch.Size([4096])  	
LM_decoder.layers.10.linear2.weight               	torch.Size([1024, 4096])	
LM_decoder.layers.10.linear2.bias                 	torch.Size([1024])  	
LM_decoder.layers.10.norm1.weight                 	torch.Size([1024])  	
LM_decoder.layers.10.norm1.bias                   	torch.Size([1024])  	
LM_decoder.layers.10.norm2.weight                 	torch.Size([1024])  	
LM_decoder.layers.10.norm2.bias                   	torch.Size([1024])  	
LM_decoder.layers.11.self_attn.in_proj_weight     	torch.Size([3072, 1024])	
LM_decoder.layers.11.self_attn.in_proj_bias       	torch.Size([3072])  	
LM_decoder.layers.11.self_attn.out_proj.weight    	torch.Size([1024, 1024])	
LM_decoder.layers.11.self_attn.out_proj.bias      	torch.Size([1024])  	
LM_decoder.layers.11.linear1.weight               	torch.Size([4096, 1024])	
LM_decoder.layers.11.linear1.bias                 	torch.Size([4096])  	
LM_decoder.layers.11.linear2.weight               	torch.Size([1024, 4096])	
LM_decoder.layers.11.linear2.bias                 	torch.Size([1024])  	
LM_decoder.layers.11.norm1.weight                 	torch.Size([1024])  	
LM_decoder.layers.11.norm1.bias                   	torch.Size([1024])  	
LM_decoder.layers.11.norm2.weight                 	torch.Size([1024])  	
LM_decoder.layers.11.norm2.bias                   	torch.Size([1024])  	
LM_decoder.norm.weight                            	torch.Size([1024])  	
LM_decoder.norm.bias                              	torch.Size([1024])  	
classifier.weight                                 	torch.Size([958, 1024])	
classifier.bias                                   	torch.Size([958])   	
image_encoder.resnet.0.weight                     	torch.Size([64, 3, 7, 7])	
image_encoder.resnet.1.weight                     	torch.Size([64])    	
image_encoder.resnet.1.bias                       	torch.Size([64])    	
image_encoder.resnet.1.running_mean               	torch.Size([64])    	
image_encoder.resnet.1.running_var                	torch.Size([64])    	
image_encoder.resnet.1.num_batches_tracked        	torch.Size([])      	
image_encoder.resnet.4.0.conv1.weight             	torch.Size([64, 64, 1, 1])	
image_encoder.resnet.4.0.bn1.weight               	torch.Size([64])    	
image_encoder.resnet.4.0.bn1.bias                 	torch.Size([64])    	
image_encoder.resnet.4.0.bn1.running_mean         	torch.Size([64])    	
image_encoder.resnet.4.0.bn1.running_var          	torch.Size([64])    	
image_encoder.resnet.4.0.bn1.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.4.0.conv2.weight             	torch.Size([64, 64, 3, 3])	
image_encoder.resnet.4.0.bn2.weight               	torch.Size([64])    	
image_encoder.resnet.4.0.bn2.bias                 	torch.Size([64])    	
image_encoder.resnet.4.0.bn2.running_mean         	torch.Size([64])    	
image_encoder.resnet.4.0.bn2.running_var          	torch.Size([64])    	
image_encoder.resnet.4.0.bn2.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.4.0.conv3.weight             	torch.Size([256, 64, 1, 1])	
image_encoder.resnet.4.0.bn3.weight               	torch.Size([256])   	
image_encoder.resnet.4.0.bn3.bias                 	torch.Size([256])   	
image_encoder.resnet.4.0.bn3.running_mean         	torch.Size([256])   	
image_encoder.resnet.4.0.bn3.running_var          	torch.Size([256])   	
image_encoder.resnet.4.0.bn3.num_batches_tracked  	torch.Size([])      	
image_encoder.resnet.4.0.downsample.0.weight      	torch.Size([256, 64, 1, 1])	
image_encoder.resnet.4.0.downsample.1.weight      	torch.Size([256])   	
image_encoder.resnet.4.0.downsample.1.bias        	torch.Size([256])   	
